State,County,fips,Year,Female life expectancy (years),"Female life expectancy (national, years)","Female life expectancy (state, years)",Male life expectancy (years),"Male life expectancy (national, years)","Male life expectancy (state, years)"
Alabama,Autauga County,1001,2010,78.78,80.79,77.83,73.34,76.07,72.39
Alabama,Baldwin County,1003,2010,80.29,80.79,77.83,74.97,76.07,72.39
Alabama,Barbour County,1005,2010,77.18,80.79,77.83,72.17,76.07,72.39
Alabama,Bibb County,1007,2010,76.77,80.79,77.83,71.54,76.07,72.39
Alabama,Blount County,1009,2010,78.62,80.79,77.83,73.14,76.07,72.39
Alabama,Bullock County,1011,2010,76.39,80.79,77.83,67.19,76.07,72.39
Alabama,Butler County,1013,2010,78.08,80.79,77.83,69.38,76.07,72.39
Alabama,Calhoun County,1015,2010,75.80,80.79,77.83,70.80,76.07,72.39
Alabama,Chambers County,1017,2010,76.37,80.79,77.83,70.12,76.07,72.39
Alabama,Cherokee County,1019,2010,77.07,80.79,77.83,72.23,76.07,72.39
Alabama,Chilton County,1021,2010,76.94,80.79,77.83,70.82,76.07,72.39
Alabama,Choctaw County,1023,2010,78.60,80.79,77.83,71.50,76.07,72.39
Alabama,Clarke County,1025,2010,77.35,80.79,77.83,72.29,76.07,72.39
Alabama,Clay County,1027,2010,76.60,80.79,77.83,71.69,76.07,72.39
Alabama,Cleburne County,1029,2010,76.60,80.79,77.83,71.69,76.07,72.39
Alabama,Coffee County,1031,2010,78.36,80.79,77.83,74.05,76.07,72.39
Alabama,Colbert County,1033,2010,77.85,80.79,77.83,70.36,76.07,72.39
Alabama,Conecuh County,1035,2010,78.08,80.79,77.83,69.38,76.07,72.39
Alabama,Coosa County,1037,2010,76.94,80.79,77.83,70.82,76.07,72.39
Alabama,Covington County,1039,2010,77.49,80.79,77.83,72.18,76.07,72.39
Alabama,Crenshaw County,1041,2010,76.39,80.79,77.83,70.17,76.07,72.39
Alabama,Cullman County,1043,2010,77.74,80.79,77.83,72.33,76.07,72.39
Alabama,Dale County,1045,2010,77.98,80.79,77.83,73.45,76.07,72.39
Alabama,Dallas County,1047,2010,75.44,80.79,77.83,68.57,76.07,72.39
Alabama,DeKalb County,1049,2010,77.32,80.79,77.83,72.14,76.07,72.39
Alabama,Elmore County,1051,2010,78.40,80.79,77.83,72.90,76.07,72.39
Alabama,Escambia County,1053,2010,77.73,80.79,77.83,71.05,76.07,72.39
Alabama,Etowah County,1055,2010,75.33,80.79,77.83,70.33,76.07,72.39
Alabama,Fayette County,1057,2010,75.82,80.79,77.83,70.44,76.07,72.39
Alabama,Franklin County,1059,2010,74.92,80.79,77.83,70.69,76.07,72.39
Alabama,Geneva County,1061,2010,78.06,80.79,77.83,72.17,76.07,72.39
Alabama,Greene County,1063,2010,77.86,80.79,77.83,70.02,76.07,72.39
Alabama,Hale County,1065,2010,76.80,80.79,77.83,68.06,76.07,72.39
Alabama,Henry County,1067,2010,78.53,80.79,77.83,71.87,76.07,72.39
Alabama,Houston County,1069,2010,79.12,80.79,77.83,73.29,76.07,72.39
Alabama,Jackson County,1071,2010,76.26,80.79,77.83,70.71,76.07,72.39
Alabama,Jefferson County,1073,2010,77.47,80.79,77.83,72.00,76.07,72.39
Alabama,Lamar County,1075,2010,77.22,80.79,77.83,71.81,76.07,72.39
Alabama,Lauderdale County,1077,2010,78.82,80.79,77.83,72.83,76.07,72.39
Alabama,Lawrence County,1079,2010,77.45,80.79,77.83,70.39,76.07,72.39
Alabama,Lee County,1081,2010,78.75,80.79,77.83,76.34,76.07,72.39
Alabama,Limestone County,1083,2010,79.50,80.79,77.83,74.59,76.07,72.39
Alabama,Lowndes County,1085,2010,76.39,80.79,77.83,70.17,76.07,72.39
Alabama,Macon County,1087,2010,76.39,80.79,77.83,67.19,76.07,72.39
Alabama,Madison County,1089,2010,79.51,80.79,77.83,75.13,76.07,72.39
Alabama,Marengo County,1091,2010,77.11,80.79,77.83,70.07,76.07,72.39
Alabama,Marion County,1093,2010,76.41,80.79,77.83,70.35,76.07,72.39
Alabama,Marshall County,1095,2010,76.59,80.79,77.83,71.50,76.07,72.39
Alabama,Mobile County,1097,2010,77.81,80.79,77.83,71.72,76.07,72.39
Alabama,Monroe County,1099,2010,77.72,80.79,77.83,70.78,76.07,72.39
Alabama,Montgomery County,1101,2010,77.98,80.79,77.83,73.35,76.07,72.39
Alabama,Morgan County,1103,2010,77.85,80.79,77.83,72.89,76.07,72.39
Alabama,Perry County,1105,2010,76.80,80.79,77.83,68.06,76.07,72.39
Alabama,Pickens County,1107,2010,76.45,80.79,77.83,71.58,76.07,72.39
Alabama,Pike County,1109,2010,77.32,80.79,77.83,71.50,76.07,72.39
Alabama,Randolph County,1111,2010,77.54,80.79,77.83,70.73,76.07,72.39
Alabama,Russell County,1113,2010,76.10,80.79,77.83,68.76,76.07,72.39
Alabama,St. Clair County,1115,2010,78.50,80.79,77.83,72.34,76.07,72.39
Alabama,Shelby County,1117,2010,80.99,80.79,77.83,77.25,76.07,72.39
Alabama,Sumter County,1119,2010,77.86,80.79,77.83,70.02,76.07,72.39
Alabama,Talladega County,1121,2010,76.14,80.79,77.83,70.52,76.07,72.39
Alabama,Tallapoosa County,1123,2010,78.50,80.79,77.83,72.56,76.07,72.39
Alabama,Tuscaloosa County,1125,2010,77.89,80.79,77.83,72.36,76.07,72.39
Alabama,Walker County,1127,2010,75.05,80.79,77.83,68.20,76.07,72.39
Alabama,Washington County,1129,2010,77.79,80.79,77.83,71.51,76.07,72.39
Alabama,Wilcox County,1131,2010,77.11,80.79,77.83,70.07,76.07,72.39
