"cty","Name","College_Graduation_Rate_rP_gP_pall"
"cty38001","Adams County, ND",0.7276
"cty56039","Teton County, WY",0.7143
"cty51610","Falls Church city, VA",0.7073
"cty34027","Morris County, NJ",0.6898
"cty34003","Bergen County, NJ",0.6673
"cty34035","Somerset County, NJ",0.6651
"cty36059","Nassau County, NY",0.6573
"cty51059","Fairfax County, VA",0.6548
"cty36119","Westchester County, NY",0.6457
"cty24027","Howard County, MD",0.6434
"cty24031","Montgomery County, MD",0.6419
"cty06041","Marin County, CA",0.6417
"cty38025","Dunn County, ND",0.6394
"cty35028","Los Alamos County, NM",0.6273
"cty25021","Norfolk County, MA",0.6256
"cty34019","Hunterdon County, NJ",0.6256
"cty30015","Chouteau County, MT",0.6227
"cty44001","Bristol County, RI",0.6068
"cty09001","Fairfield County, CT",0.6061
"cty25017","Middlesex County, MA",0.6055
"cty20071","Greeley County, KS",0.6044
"cty51735","Poquoson city, VA",0.6019
"cty36087","Rockland County, NY",0.6
"cty17043","DuPage County, IL",0.5977
"cty08097","Pitkin County, CO",0.5954
"cty08037","Eagle County, CO",0.5954
"cty34025","Monmouth County, NJ",0.5946
"cty18057","Hamilton County, IN",0.5936
"cty42091","Montgomery County, PA",0.5935
"cty36079","Putnam County, NY",0.5927
"cty42029","Chester County, PA",0.5898
"cty20023","Cheyenne County, KS",0.589
"cty08061","Kiowa County, CO",0.583
"cty20129","Morton County, KS",0.5798
"cty37135","Orange County, NC",0.5787
"cty48425","Somervell County, TX",0.5785
"cty20091","Johnson County, KS",0.5779
"cty47187","Williamson County, TN",0.5718
"cty51013","Arlington County, VA",0.5702
"cty46021","Campbell County, SD",0.5693
"cty08117","Summit County, CO",0.5688
"cty55089","Ozaukee County, WI",0.5666
"cty51510","Alexandria city, VA",0.5632
"cty36001","Albany County, NY",0.5627
"cty31073","Gosper County, NE",0.5585
"cty37183","Wake County, NC",0.5562
"cty51003","Albemarle County, VA",0.5555
"cty16023","Butte County, ID",0.5544
"cty17097","Lake County, IL",0.5525
"cty46027","Clay County, SD",0.5508
"cty34023","Middlesex County, NJ",0.5492
"cty20171","Scott County, KS",0.5487
"cty51678","Lexington city, VA",0.5473
"cty20153","Rawlins County, KS",0.5469
"cty08107","Routt County, CO",0.5462
"cty08051","Gunnison County, CO",0.5455
"cty51107","Loudoun County, VA",0.5451
"cty25009","Essex County, MA",0.5447
"cty19103","Johnson County, IA",0.5446
"cty13067","Cobb County, GA",0.5445
"cty13113","Fayette County, GA",0.5445
"cty48421","Sherman County, TX",0.543
"cty34037","Sussex County, NJ",0.5428
"cty36103","Suffolk County, NY",0.5427
"cty06075","San Francisco County, CA",0.541
"cty42045","Delaware County, PA",0.541
"cty21185","Oldham County, KY",0.5394
"cty55133","Waukesha County, WI",0.5388
"cty36085","Richmond County, NY",0.5378
"cty48085","Collin County, TX",0.5373
"cty08013","Boulder County, CO",0.5369
"cty44009","Washington County, RI",0.5367
"cty30025","Fallon County, MT",0.5353
"cty51600","Fairfax city, VA",0.5346
"cty08035","Douglas County, CO",0.5345
"cty42017","Bucks County, PA",0.5332
"cty29189","St. Louis County, MO",0.5331
"cty51199","York County, VA",0.533
"cty34039","Union County, NJ",0.5326
"cty23005","Cumberland County, ME",0.5323
"cty25019","Nantucket County, MA",0.5312
"cty34021","Mercer County, NJ",0.5307
"cty09007","Middlesex County, CT",0.5295
"cty31135","Perkins County, NE",0.5274
"cty36091","Saratoga County, NY",0.5268
"cty08091","Ouray County, CO",0.5268
"cty50007","Chittenden County, VT",0.5261
"cty09003","Hartford County, CT",0.5257
