"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty31113","Logan County, NE",0.9952
"cty30055","McCone County, MT",0.9913
"cty30075","Powder River County, MT",0.9904
"cty02275","Wrangell City and Borough, AK",0.9899
"cty06051","Mono County, CA",0.9878
"cty41055","Sherman County, OR",0.9855
"cty02068","Denali Borough, AK",0.9821
"cty46055","Haakon County, SD",0.9759
"cty08117","Summit County, CO",0.9748
"cty48433","Stonewall County, TX",0.9677
"cty31069","Garden County, NE",0.9656
"cty38033","Golden Valley County, ND",0.9651
"cty20083","Hodgeman County, KS",0.9634
"cty31125","Nance County, NE",0.9626
"cty27155","Traverse County, MN",0.96
"cty48033","Borden County, TX",0.9584
"cty19143","Osceola County, IA",0.9565
"cty17079","Jasper County, IL",0.9554
"cty51127","New Kent County, VA",0.9546
"cty51610","Falls Church city, VA",0.9515
"cty24027","Howard County, MD",0.9492
"cty08107","Routt County, CO",0.9487
"cty38023","Divide County, ND",0.948
"cty53069","Wahkiakum County, WA",0.9473
"cty20033","Comanche County, KS",0.9472
"cty48095","Concho County, TX",0.9471
"cty42047","Elk County, PA",0.9471
"cty31059","Fillmore County, NE",0.947
"cty49043","Summit County, UT",0.9466
"cty54009","Brooke County, WV",0.9457
"cty16033","Clark County, ID",0.9456
"cty56027","Niobrara County, WY",0.9447
"cty02105","Hoonah-Angoon Census Area, AK",0.9443
"cty36059","Nassau County, NY",0.9441
"cty51103","Lancaster County, VA",0.9441
"cty17069","Hardin County, IL",0.9438
"cty06091","Sierra County, CA",0.9435
"cty02220","Sitka City and Borough, AK",0.9415
"cty34003","Bergen County, NJ",0.9408
"cty51570","Colonial Heights city, VA",0.9407
"cty31183","Wheeler County, NE",0.9407
"cty17065","Hamilton County, IL",0.9404
"cty36079","Putnam County, NY",0.9403
"cty38061","Mountrail County, ND",0.9402
"cty17133","Monroe County, IL",0.9402
"cty17053","Ford County, IL",0.9398
"cty20039","Decatur County, KS",0.939
"cty34027","Morris County, NJ",0.9388
"cty48417","Shackelford County, TX",0.9385
"cty31071","Garfield County, NE",0.9383
"cty27149","Stevens County, MN",0.9375
"cty20023","Cheyenne County, KS",0.9363
"cty02110","Juneau City and Borough, AK",0.9359
"cty48327","Menard County, TX",0.9359
"cty30097","Sweet Grass County, MT",0.9359
"cty46097","Miner County, SD",0.9358
"cty02150","Kodiak Island Borough, AK",0.9357
"cty24001","Allegany County, MD",0.9357
"cty19017","Bremer County, IA",0.9352
"cty06041","Marin County, CA",0.935
"cty51161","Roanoke County, VA",0.9347
"cty51113","Madison County, VA",0.9343
"cty34019","Hunterdon County, NJ",0.9342
"cty16013","Blaine County, ID",0.9338
"cty31167","Stanton County, NE",0.9336
"cty48065","Carson County, TX",0.9336
"cty17043","DuPage County, IL",0.9335
"cty24047","Worcester County, MD",0.9332
"cty25021","Norfolk County, MA",0.933
"cty46049","Faulk County, SD",0.9329
"cty17171","Scott County, IL",0.9327
"cty08063","Kit Carson County, CO",0.9326
"cty19009","Audubon County, IA",0.9322
"cty16071","Oneida County, ID",0.9321
"cty46079","Lake County, SD",0.932
"cty15003","Honolulu County, HI",0.9319
"cty34025","Monmouth County, NJ",0.9317
"cty20123","Mitchell County, KS",0.9317
"cty46063","Harding County, SD",0.9316
"cty31099","Kearney County, NE",0.9315
"cty09005","Litchfield County, CT",0.9314
"cty24013","Carroll County, MD",0.9307
"cty44001","Bristol County, RI",0.9307
"cty55131","Washington County, WI",0.9307
"cty34035","Somerset County, NJ",0.9306
"cty27091","Martin County, MN",0.9306
"cty19075","Grundy County, IA",0.9306
"cty38069","Pierce County, ND",0.9306
"cty51017","Bath County, VA",0.9305
"cty31179","Wayne County, NE",0.9301
"cty16065","Madison County, ID",0.93
"cty38043","Kidder County, ND",0.9297
"cty19079","Hamilton County, IA",0.9296
"cty55073","Marathon County, WI",0.9293
"cty20147","Phillips County, KS",0.9293
"cty34023","Middlesex County, NJ",0.9287
"cty20089","Jewell County, KS",0.9287
"cty19019","Buchanan County, IA",0.9281
"cty31129","Nuckolls County, NE",0.9279
"cty38037","Grant County, ND",0.9277
"cty38097","Traill County, ND",0.9275
"cty51059","Fairfax County, VA",0.9274
"cty19055","Delaware County, IA",0.9274
"cty38007","Billings County, ND",0.9274
"cty19095","Iowa County, IA",0.9274
"cty42017","Bucks County, PA",0.9273
"cty53023","Garfield County, WA",0.9273
"cty55047","Green Lake County, WI",0.9273
"cty42021","Cambria County, PA",0.9271
"cty17049","Effingham County, IL",0.927
"cty55091","Pepin County, WI",0.927
"cty51063","Floyd County, VA",0.9269
"cty17111","McHenry County, IL",0.9269
"cty17105","Livingston County, IL",0.9268
"cty25017","Middlesex County, MA",0.9267
"cty19169","Story County, IA",0.9267
"cty55089","Ozaukee County, WI",0.9265
"cty24021","Frederick County, MD",0.9264
"cty38003","Barnes County, ND",0.9264
