"cty","Name","Incarceration_Rate_rP_gP_pall"
"cty72065","Hatillo Municipio, PR",0.1129
"cty72101","Morovis Municipio, PR",0.0918
"cty46102","Oglala Lakota County, SD",0.0857
"cty72003","Aguada Municipio, PR",0.0812
"cty55078","Menominee County, WI",0.0723
"cty48359","Oldham County, TX",0.0633
"cty02060","Bristol Bay Borough, AK",0.0599
"cty13259","Stewart County, GA",0.0556
"cty72111","Penuelas Municipio, PR",0.0555
"cty51760","Richmond city, VA",0.0543
"cty08023","Costilla County, CO",0.0539
"cty13235","Pulaski County, GA",0.0522
"cty51730","Petersburg city, VA",0.052
"cty46137","Ziebach County, SD",0.0515
"cty31113","Logan County, NE",0.0508
"cty47067","Hancock County, TN",0.0504
"cty51740","Portsmouth city, VA",0.0502
"cty13065","Clinch County, GA",0.0488
"cty13043","Candler County, GA",0.0484
"cty30103","Treasure County, MT",0.0446
"cty24510","Baltimore city, MD",0.0441
"cty28055","Issaquena County, MS",0.044
"cty48007","Aransas County, TX",0.0433
"cty48315","Marion County, TX",0.0431
"cty48375","Potter County, TX",0.043
"cty51710","Norfolk city, VA",0.0428
"cty51620","Franklin city, VA",0.042
"cty13293","Upson County, GA",0.0418
"cty51540","Charlottesville city, VA",0.0418
"cty22091","St. Helena Parish, LA",0.0418
"cty13265","Taliaferro County, GA",0.0413
"cty12027","DeSoto County, FL",0.0412
"cty46121","Todd County, SD",0.0409
"cty12093","Okeechobee County, FL",0.0408
"cty02185","North Slope Borough, AK",0.0407
"cty13099","Early County, GA",0.0407
"cty28025","Clay County, MS",0.0407
"cty51690","Martinsville city, VA",0.0406
"cty12045","Gulf County, FL",0.0404
"cty13155","Irwin County, GA",0.0404
"cty29133","Mississippi County, MO",0.0401
"cty29155","Pemiscot County, MO",0.0401
"cty29510","St. Louis city, MO",0.04
"cty13017","Ben Hill County, GA",0.04
"cty01037","Coosa County, AL",0.0398
"cty48305","Lynn County, TX",0.0395
"cty13205","Mitchell County, GA",0.0393
"cty13109","Evans County, GA",0.039
"cty51097","King and Queen County, VA",0.0388
"cty02105","Hoonah-Angoon Census Area, AK",0.0388
"cty17003","Alexander County, IL",0.0386
"cty48309","McLennan County, TX",0.0385
"cty48293","Limestone County, TX",0.0384
"cty13283","Treutlen County, GA",0.0383
"cty13051","Chatham County, GA",0.0376
