"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty51107","Loudoun County, VA",127541
"cty51059","Fairfax County, VA",122776
"cty24027","Howard County, MD",119430
"cty51013","Arlington County, VA",117668
"cty51610","Falls Church city, VA",112318
"cty34019","Hunterdon County, NJ",112021
"cty34035","Somerset County, NJ",111879
"cty24031","Montgomery County, MD",111342
"cty34027","Morris County, NJ",109136
"cty08035","Douglas County, CO",108334
"cty36059","Nassau County, NY",105015
"cty06085","Santa Clara County, CA",104929
"cty35028","Los Alamos County, NM",104706
"cty06081","San Mateo County, CA",104639
"cty47187","Williamson County, TN",103917
"cty06041","Marin County, CA",102890
"cty09001","Fairfield County, CT",102828
"cty51153","Prince William County, VA",101104
"cty51600","Fairfax city, VA",100914
"cty51179","Stafford County, VA",100633
"cty36119","Westchester County, NY",99361
"cty24009","Calvert County, MD",99025
"cty36079","Putnam County, NY",98540
"cty39041","Delaware County, OH",97545
"cty49043","Summit County, UT",97464
"cty51510","Alexandria city, VA",97040
"cty25021","Norfolk County, MA",96683
"cty34003","Bergen County, NJ",96010
"cty25017","Middlesex County, MA",94666
"cty42029","Chester County, PA",94425
"cty34025","Monmouth County, NJ",94276
"cty24003","Anne Arundel County, MD",94137
"cty48157","Fort Bend County, TX",94055
"cty13117","Forsyth County, GA",93709
"cty27019","Carver County, MN",92910
"cty36103","Suffolk County, NY",92116
"cty06013","Contra Costa County, CA",92065
"cty18057","Hamilton County, IN",92055
"cty24017","Charles County, MD",91969
"cty27139","Scott County, MN",91516
"cty51061","Fauquier County, VA",91247
"cty48085","Collin County, TX",90877
"cty08039","Elbert County, CO",90567
"cty34037","Sussex County, NJ",89949
"cty06075","San Francisco County, CA",89532
"cty48397","Rockwall County, TX",89355
"cty24013","Carroll County, MD",88881
"cty21185","Oldham County, KY",88560
"cty27163","Washington County, MN",88405
"cty24021","Frederick County, MD",88381
"cty17097","Lake County, IL",88108
"cty25019","Nantucket County, MA",87869
"cty38105","Williams County, ND",87726
"cty24035","Queen Anne's County, MD",87187
"cty08014","Broomfield County, CO",87082
"cty24037","St. Mary's County, MD",86987
"cty42091","Montgomery County, PA",86952
"cty02060","Bristol Bay Borough, AK",86904
"cty17043","DuPage County, IL",86381
"cty51735","Poquoson city, VA",86313
"cty06001","Alameda County, CA",85868
"cty51199","York County, VA",85765
"cty20091","Johnson County, KS",85669
"cty36087","Rockland County, NY",85353
"cty13113","Fayette County, GA",85120
"cty34005","Burlington County, NJ",85118
"cty33015","Rockingham County, NH",84875
"cty42017","Bucks County, PA",84707
"cty02110","Juneau City and Borough, AK",84669
"cty48121","Denton County, TX",84323
"cty34021","Mercer County, NJ",84251
"cty02016","Aleutians West Census Area, AK",84009
"cty02020","Anchorage Municipality, AK",83998
"cty51099","King George County, VA",83823
"cty34023","Middlesex County, NJ",83704
"cty17093","Kendall County, IL",83415
"cty53033","King County, WA",83193
"cty51075","Goochland County, VA",83180
"cty17197","Will County, IL",82896
"cty44001","Bristol County, RI",82337
"cty55089","Ozaukee County, WI",81993
"cty24025","Harford County, MD",81979
"cty06111","Ventura County, CA",81667
"cty36061","New York County, NY",81518
"cty08037","Eagle County, CO",81335
"cty15003","Honolulu County, HI",81279
"cty27037","Dakota County, MN",81252
"cty06061","Placer County, CA",81251
"cty09007","Middlesex County, CT",81029
"cty06059","Orange County, CA",80814
"cty51095","James City County, VA",80808
"cty11001","District of Columbia, DC",80759
"cty55133","Waukesha County, WI",80668
"cty39165","Warren County, OH",80601
"cty25023","Plymouth County, MA",80548
"cty17111","McHenry County, IL",80419
"cty51085","Hanover County, VA",80335
"cty02068","Denali Borough, AK",80289
"cty19049","Dallas County, IA",80257
"cty51177","Spotsylvania County, VA",80159
"cty18011","Boone County, IN",80079
"cty02150","Kodiak Island Borough, AK",80072
"cty49029","Morgan County, UT",79972
"cty51145","Powhatan County, VA",79765
"cty34039","Union County, NJ",79722
"cty34015","Gloucester County, NJ",79629
"cty26093","Livingston County, MI",78854
"cty24033","Prince George's County, MD",78515
"cty48491","Williamson County, TX",78041
"cty09013","Tolland County, CT",78027
"cty33011","Hillsborough County, NH",77936
"cty56035","Sublette County, WY",77892
"cty56005","Campbell County, WY",77544
"cty51685","Manassas Park city, VA",77488
"cty39055","Geauga County, OH",77427
"cty06017","El Dorado County, CA",77317
"cty46083","Lincoln County, SD",77219
"cty51041","Chesterfield County, VA",77176
"cty27141","Sherburne County, MN",77121
"cty32015","Lander County, NV",77104
"cty06055","Napa County, CA",76851
"cty26125","Oakland County, MI",76838
"cty29183","St. Charles County, MO",76768
"cty25009","Essex County, MA",76701
"cty48033","Borden County, TX",76603
"cty08013","Boulder County, CO",76550
"cty27171","Wright County, MN",76486
"cty51683","Manassas city, VA",76343
"cty12109","St. Johns County, FL",76335
"cty08059","Jefferson County, CO",76136
"cty49011","Davis County, UT",76050
"cty27003","Anoka County, MN",75978
"cty38089","Stark County, ND",75838
"cty48259","Kendall County, TX",75696
"cty48339","Montgomery County, TX",75622
"cty09005","Litchfield County, CT",75429
"cty37183","Wake County, NC",75212
"cty34041","Warren County, NJ",75181
"cty13073","Columbia County, GA",75156
"cty53061","Snohomish County, WA",75128
"cty48329","Midland County, TX",75115
"cty56039","Teton County, WY",75005
"cty49009","Daggett County, UT",74992
"cty36091","Saratoga County, NY",74749
"cty06069","San Benito County, CA",74710
"cty37179","Union County, NC",74708
"cty36027","Dutchess County, NY",74557
"cty13067","Cobb County, GA",74437
"cty39159","Union County, OH",74424
"cty08005","Arapahoe County, CO",74387
"cty51127","New Kent County, VA",74211
"cty55109","St. Croix County, WI",74169
