"cty","Name","Poverty_Rate_in_2012-16"
"cty72093","Maricao Municipio, PR",0.6376
"cty72001","Adjuntas Municipio, PR",0.631
"cty72055","Guanica Municipio, PR",0.631
"cty72019","Barranquitas Municipio, PR",0.6085
"cty72039","Ciales Municipio, PR",0.6069
"cty72045","Comerio Municipio, PR",0.6067
"cty72073","Jayuya Municipio, PR",0.601
"cty72079","Lajas Municipio, PR",0.5945
"cty72059","Guayanilla Municipio, PR",0.585
"cty72083","Las Marias Municipio, PR",0.5828
"cty72107","Orocovis Municipio, PR",0.579
"cty72081","Lares Municipio, PR",0.5772
"cty72111","Penuelas Municipio, PR",0.5766
"cty72131","San Sebastian Municipio, PR",0.57
"cty72109","Patillas Municipio, PR",0.5687
"cty72099","Moca Municipio, PR",0.566
"cty72095","Maunabo Municipio, PR",0.5611
"cty72047","Corozal Municipio, PR",0.5583
"cty72115","Quebradillas Municipio, PR",0.5569
"cty72071","Isabela Municipio, PR",0.5536
"cty72054","Florida Municipio, PR",0.5463
"cty72003","Aguada Municipio, PR",0.5446
"cty46102","Oglala Lakota County, SD",0.5435
"cty72057","Guayama Municipio, PR",0.5342
"cty72123","Salinas Municipio, PR",0.5331
"cty72015","Arroyo Municipio, PR",0.5314
"cty72017","Barceloneta Municipio, PR",0.5283
"cty72153","Yauco Municipio, PR",0.521
"cty72141","Utuado Municipio, PR",0.5204
"cty72101","Morovis Municipio, PR",0.5182
"cty72113","Ponce Municipio, PR",0.5153
"cty72097","Mayaguez Municipio, PR",0.5122
"cty72125","San German Municipio, PR",0.5106
"cty72149","Villalba Municipio, PR",0.5104
"cty72007","Aguas Buenas Municipio, PR",0.5051
"cty72133","Santa Isabel Municipio, PR",0.5036
"cty72033","Catano Municipio, PR",0.5029
"cty72087","Loiza Municipio, PR",0.5003
"cty72121","Sabana Grande Municipio, PR",0.5002
"cty72103","Naguabo Municipio, PR",0.5
"cty72023","Cabo Rojo Municipio, PR",0.4996
"cty72005","Aguadilla Municipio, PR",0.4967
"cty72043","Coamo Municipio, PR",0.4962
"cty72013","Arecibo Municipio, PR",0.4922
"cty72151","Yabucoa Municipio, PR",0.491
"cty72143","Vega Alta Municipio, PR",0.4897
"cty72077","Juncos Municipio, PR",0.4882
"cty72117","Rincon Municipio, PR",0.4848
"cty72027","Camuy Municipio, PR",0.4829
"cty72011","Anasco Municipio, PR",0.4824
"cty72075","Juana Diaz Municipio, PR",0.482
"cty72105","Naranjito Municipio, PR",0.4766
"cty46121","Todd County, SD",0.4709
"cty72085","Las Piedras Municipio, PR",0.4706
"cty72129","San Lorenzo Municipio, PR",0.4698
"cty46031","Corson County, SD",0.4677
"cty72009","Aibonito Municipio, PR",0.4653
"cty72091","Manati Municipio, PR",0.4641
"cty72145","Vega Baja Municipio, PR",0.4619
"cty46095","Mellette County, SD",0.4616
"cty72049","Culebra Municipio, PR",0.4575
"cty72069","Humacao Municipio, PR",0.4506
"cty28051","Holmes County, MS",0.449
"cty72089","Luquillo Municipio, PR",0.4482
"cty72037","Ceiba Municipio, PR",0.4478
"cty72065","Hatillo Municipio, PR",0.4456
"cty72029","Canovanas Municipio, PR",0.4396
"cty51750","Radford city, VA",0.4376
"cty72053","Fajardo Municipio, PR",0.4337
"cty72035","Cayey Municipio, PR",0.4328
"cty22035","East Carroll Parish, LA",0.4309
"cty21147","McCreary County, KY",0.427
"cty28053","Humphreys County, MS",0.4266
"cty13259","Stewart County, GA",0.4256
"cty72127","San Juan Municipio, PR",0.4248
"cty72041","Cidra Municipio, PR",0.4184
"cty28021","Claiborne County, MS",0.4102
"cty21237","Wolfe County, KY",0.4099
"cty21051","Clay County, KY",0.4042
"cty28055","Issaquena County, MS",0.4039
"cty01105","Perry County, AL",0.4022
"cty28063","Jefferson County, MS",0.4001
"cty28083","Leflore County, MS",0.3991
"cty13061","Clay County, GA",0.3981
"cty46137","Ziebach County, SD",0.3944
"cty22065","Madison Parish, LA",0.3929
"cty46017","Buffalo County, SD",0.3918
"cty13059","Clarke County, GA",0.3812
"cty35031","McKinley County, NM",0.3804
"cty48427","Starr County, TX",0.3796
"cty38085","Sioux County, ND",0.3795
"cty48229","Hudspeth County, TX",0.3794
"cty21129","Lee County, KY",0.3781
"cty28119","Quitman County, MS",0.3778
"cty72137","Toa Baja Municipio, PR",0.3774
"cty28011","Bolivar County, MS",0.3759
"cty01119","Sumter County, AL",0.3757
"cty21189","Owsley County, KY",0.3742
"cty46007","Bennett County, SD",0.3729
"cty72025","Caguas Municipio, PR",0.3729
"cty39009","Athens County, OH",0.3716
"cty01063","Greene County, AL",0.3707
"cty72119","Rio Grande Municipio, PR",0.3705
"cty54047","McDowell County, WV",0.3688
"cty21013","Bell County, KY",0.3675
"cty72067","Hormigueros Municipio, PR",0.3669
"cty48489","Willacy County, TX",0.3617
"cty48507","Zavala County, TX",0.3607
"cty72051","Dorado Municipio, PR",0.3607
"cty72147","Vieques Municipio, PR",0.3587
"cty46071","Jackson County, SD",0.3564
"cty04001","Apache County, AZ",0.3563
"cty53075","Whitman County, WA",0.3546
"cty72021","Bayamon Municipio, PR",0.3535
"cty13273","Terrell County, GA",0.353
"cty13065","Clinch County, GA",0.3528
"cty28157","Wilkinson County, MS",0.3524
"cty28151","Washington County, MS",0.3523
"cty28133","Sunflower County, MS",0.3509
"cty28027","Coahoma County, MS",0.3502
"cty13017","Ben Hill County, GA",0.3501
"cty01131","Wilcox County, AL",0.3491
"cty13031","Bulloch County, GA",0.3473
"cty28065","Jefferson Davis County, MS",0.3446
"cty01047","Dallas County, AL",0.3437
"cty21121","Knox County, KY",0.3433
"cty08025","Crowley County, CO",0.3412
"cty48047","Brooks County, TX",0.341
"cty05107","Phillips County, AR",0.3392
"cty16065","Madison County, ID",0.3381
"cty21025","Breathitt County, KY",0.3364
"cty48505","Zapata County, TX",0.3363
"cty13261","Sumter County, GA",0.3357
"cty21063","Elliott County, KY",0.335
"cty22107","Tensas Parish, LA",0.3346
"cty38005","Benson County, ND",0.3342
"cty48061","Cameron County, TX",0.334
"cty37189","Watauga County, NC",0.3331
"cty13193","Macon County, GA",0.3327
"cty28105","Oktibbeha County, MS",0.3322
"cty01035","Conecuh County, AL",0.3316
"cty21159","Martin County, KY",0.3305
"cty17003","Alexander County, IL",0.3305
"cty13081","Crisp County, GA",0.3301
"cty30035","Glacier County, MT",0.3295
"cty28163","Yazoo County, MS",0.3292
"cty48215","Hidalgo County, TX",0.3284
"cty51595","Emporia city, VA",0.3283
"cty48479","Webb County, TX",0.3276
"cty28103","Noxubee County, MS",0.3271
"cty21109","Jackson County, KY",0.3268
"cty55078","Menominee County, WI",0.3262
"cty51660","Harrisonburg city, VA",0.3243
"cty22061","Lincoln Parish, LA",0.3241
"cty21095","Harlan County, KY",0.3234
"cty01099","Monroe County, AL",0.3232
"cty72063","Gurabo Municipio, PR",0.3231
"cty05041","Desha County, AR",0.3222
"cty35057","Torrance County, NM",0.3205
"cty21131","Leslie County, KY",0.32
"cty13141","Hancock County, GA",0.3194
"cty13095","Dougherty County, GA",0.3181
"cty28113","Pike County, MS",0.3176
"cty38079","Rolette County, ND",0.3164
"cty26073","Isabella County, MI",0.3161
"cty28125","Sharkey County, MS",0.316
"cty31173","Thurston County, NE",0.315
"cty08003","Alamosa County, CO",0.3148
"cty37165","Scotland County, NC",0.3145
"cty21119","Knott County, KY",0.3145
"cty13265","Taliaferro County, GA",0.3138
"cty37155","Robeson County, NC",0.3122
"cty05099","Nevada County, AR",0.3116
"cty22029","Concordia Parish, LA",0.3107
"cty72135","Toa Alta Municipio, PR",0.3103
"cty13009","Baldwin County, GA",0.3095
"cty13099","Early County, GA",0.309
"cty22041","Franklin Parish, LA",0.3079
"cty45033","Dillon County, SC",0.3061
"cty13033","Burke County, GA",0.3061
"cty21071","Floyd County, KY",0.3061
"cty36005","Bronx County, NY",0.3055
"cty35047","San Miguel County, NM",0.3046
"cty13101","Echols County, GA",0.3045
"cty29001","Adair County, MO",0.3044
"cty13289","Twiggs County, GA",0.3036
"cty72139","Trujillo Alto Municipio, PR",0.3035
"cty21065","Estill County, KY",0.3027
"cty22027","Claiborne Parish, LA",0.3025
"cty05017","Chicot County, AR",0.3022
"cty28069","Kemper County, MS",0.3022
"cty28001","Adams County, MS",0.3009
"cty22069","Natchitoches Parish, LA",0.3005
"cty13205","Mitchell County, GA",0.3004
"cty72031","Carolina Municipio, PR",0.2997
"cty40001","Adair County, OK",0.2996
"cty08023","Costilla County, CO",0.2994
"cty47095","Lake County, TN",0.2993
"cty12027","DeSoto County, FL",0.2993
"cty05077","Lee County, AR",0.2989
"cty21133","Letcher County, KY",0.2983
"cty13037","Calhoun County, GA",0.298
"cty13043","Candler County, GA",0.2978
"cty45005","Allendale County, SC",0.2975
"cty04017","Navajo County, AZ",0.297
"cty46027","Clay County, SD",0.297
"cty13271","Telfair County, GA",0.2969
"cty21153","Magoffin County, KY",0.2957
"cty51730","Petersburg city, VA",0.2953
"cty17109","McDonough County, IL",0.2947
"cty17077","Jackson County, IL",0.2946
"cty13107","Emanuel County, GA",0.2946
"cty29133","Mississippi County, MO",0.2943
"cty13163","Jefferson County, GA",0.2941
"cty35029","Luna County, NM",0.293
"cty13131","Grady County, GA",0.293
"cty29155","Pemiscot County, MO",0.2917
"cty05011","Bradley County, AR",0.2912
"cty28071","Lafayette County, MS",0.2905
"cty13165","Jenkins County, GA",0.2903
"cty28035","Forrest County, MS",0.289
"cty01085","Lowndes County, AL",0.2882
"cty13269","Taylor County, GA",0.2882
"cty45089","Williamsburg County, SC",0.2878
"cty05095","Monroe County, AR",0.2877
"cty12079","Madison County, FL",0.2877
"cty28097","Montgomery County, MS",0.2871
"cty48191","Hall County, TX",0.287
"cty13021","Bibb County, GA",0.287
"cty18105","Monroe County, IN",0.2868
"cty13243","Randolph County, GA",0.2864
"cty01091","Marengo County, AL",0.2855
"cty47135","Perry County, TN",0.2855
"cty13299","Ware County, GA",0.2851
"cty45061","Lee County, SC",0.2851
"cty37131","Northampton County, NC",0.285
"cty28159","Winston County, MS",0.2843
"cty28135","Tallahatchie County, MS",0.2843
"cty06107","Tulare County, CA",0.2841
"cty40023","Choctaw County, OK",0.2837
"cty37017","Bladen County, NC",0.2836
"cty13173","Lanier County, GA",0.283
"cty28143","Tunica County, MS",0.2825
"cty51540","Charlottesville city, VA",0.2819
"cty30005","Blaine County, MT",0.2814
"cty13267","Tattnall County, GA",0.281
"cty21135","Lewis County, KY",0.2808
"cty40119","Payne County, OK",0.2806
"cty22067","Morehouse Parish, LA",0.2803
"cty35013","Doña Ana County, NM",0.2802
"cty22097","St. Landry Parish, LA",0.2802
"cty37061","Duplin County, NC",0.2796
"cty05067","Jackson County, AR",0.2788
"cty05043","Drew County, AR",0.2788
"cty29069","Dunklin County, MO",0.2785
"cty47061","Grundy County, TN",0.278
"cty13175","Laurens County, GA",0.278
"cty22039","Evangeline Parish, LA",0.2778
"cty56001","Albany County, WY",0.2771
"cty45009","Bamberg County, SC",0.2769
"cty28005","Amite County, MS",0.2769
"cty30003","Big Horn County, MT",0.2768
"cty22091","St. Helena Parish, LA",0.2767
"cty48041","Brazos County, TX",0.276
"cty28029","Copiah County, MS",0.2759
"cty72061","Guaynabo Municipio, PR",0.2759
"cty51530","Buena Vista city, VA",0.2756
"cty01087","Macon County, AL",0.2753
"cty26085","Lake County, MI",0.275
"cty46041","Dewey County, SD",0.2749
"cty06019","Fresno County, CA",0.2746
"cty28091","Marion County, MS",0.2746
"cty28127","Simpson County, MS",0.2745
"cty47151","Scott County, TN",0.2743
"cty35006","Cibola County, NM",0.2741
"cty47067","Hancock County, TN",0.2741
"cty54101","Webster County, WV",0.2739
"cty13309","Wheeler County, GA",0.2739
"cty21193","Perry County, KY",0.2735
"cty13003","Atkinson County, GA",0.2729
"cty30085","Roosevelt County, MT",0.2724
"cty21235","Whitley County, KY",0.2723
"cty29510","St. Louis city, MO",0.2722
"cty13287","Turner County, GA",0.2722
"cty29153","Ozark County, MO",0.2721
"cty13277","Tift County, GA",0.2718
"cty28017","Chickasaw County, MS",0.271
"cty19169","Story County, IA",0.271
"cty02180","Nome Census Area, AK",0.2708
"cty16033","Clark County, ID",0.2708
"cty21075","Fulton County, KY",0.2705
"cty49037","San Juan County, UT",0.2703
"cty26107","Mecosta County, MI",0.2681
"cty13317","Wilkes County, GA",0.2676
"cty12107","Putnam County, FL",0.2675
"cty13189","McDuffie County, GA",0.2674
"cty51680","Lynchburg city, VA",0.2672
"cty12051","Hendry County, FL",0.2672
"cty48405","San Augustine County, TX",0.2671
"cty28079","Leake County, MS",0.2665
"cty40107","Okfuskee County, OK",0.266
"cty12059","Holmes County, FL",0.266
"cty45011","Barnwell County, SC",0.2656
"cty01065","Hale County, AL",0.2655
"cty05057","Hempstead County, AR",0.2652
"cty51720","Norton city, VA",0.2652
"cty13109","Evans County, GA",0.2652
"cty01011","Bullock County, AL",0.2651
"cty51105","Lee County, VA",0.2649
"cty47091","Johnson County, TN",0.2649
"cty37083","Halifax County, NC",0.2648
"cty28123","Scott County, MS",0.2648
"cty22117","Washington Parish, LA",0.2647
"cty21045","Casey County, KY",0.2647
"cty13279","Toombs County, GA",0.2647
"cty45069","Marlboro County, SC",0.2645
"cty42101","Philadelphia County, PA",0.2644
"cty12047","Hamilton County, FL",0.2642
"cty21207","Russell County, KY",0.264
"cty05073","Lafayette County, AR",0.2638
"cty22049","Jackson Parish, LA",0.2637
"cty13075","Cook County, GA",0.2634
"cty22071","Orleans Parish, LA",0.2633
"cty22031","De Soto Parish, LA",0.2633
"cty02050","Bethel Census Area, AK",0.2628
"cty12049","Hardee County, FL",0.2626
"cty29149","Oregon County, MO",0.2625
"cty13133","Greene County, GA",0.2624
"cty21041","Carroll County, KY",0.2623
"cty29215","Texas County, MO",0.2621
"cty37181","Vance County, NC",0.2621
"cty01109","Pike County, AL",0.2621
"cty13087","Decatur County, GA",0.2618
"cty54059","Mingo County, WV",0.2615
"cty51760","Richmond city, VA",0.2614
"cty47029","Cocke County, TN",0.2614
"cty05069","Jefferson County, AR",0.261
"cty28013","Calhoun County, MS",0.2608
"cty21035","Calloway County, KY",0.2607
"cty01005","Barbour County, AL",0.2604
"cty21181","Nicholas County, KY",0.2602
"cty21115","Johnson County, KY",0.2602
"cty21171","Monroe County, KY",0.2602
"cty54005","Boone County, WV",0.2599
"cty05093","Mississippi County, AR",0.2588
"cty13301","Warren County, GA",0.2588
"cty21197","Powell County, KY",0.2587
"cty13019","Berrien County, GA",0.2587
"cty45067","Marion County, SC",0.2586
"cty37153","Richmond County, NC",0.2585
"cty21231","Wayne County, KY",0.2585
"cty28049","Hinds County, MS",0.2585
"cty12039","Gadsden County, FL",0.2572
"cty13239","Quitman County, GA",0.2568
"cty45027","Clarendon County, SC",0.2568
"cty28031","Covington County, MS",0.2566
"cty28025","Clay County, MS",0.2566
"cty48255","Karnes County, TX",0.2565
"cty13303","Washington County, GA",0.2565
"cty01013","Butler County, AL",0.2564
"cty37065","Edgecombe County, NC",0.2562
"cty28147","Walthall County, MS",0.2562
"cty48347","Nacogdoches County, TX",0.256
"cty28085","Lincoln County, MS",0.2558
"cty35035","Otero County, NM",0.2549
"cty22127","Winn Parish, LA",0.2549
"cty21195","Pike County, KY",0.2547
"cty29147","Nodaway County, MO",0.2547
"cty13181","Lincoln County, GA",0.2541
"cty35041","Roosevelt County, NM",0.2537
"cty18035","Delaware County, IN",0.2535
"cty13119","Franklin County, GA",0.2532
"cty22013","Bienville Parish, LA",0.2531
"cty37177","Tyrrell County, NC",0.2527
"cty28153","Wayne County, MS",0.2527
"cty54043","Lincoln County, WV",0.2526
"cty54021","Gilmer County, WV",0.2526
"cty48131","Duval County, TX",0.2526
"cty21217","Taylor County, KY",0.2525
"cty08011","Bent County, CO",0.2525
"cty13071","Colquitt County, GA",0.2524
"cty22111","Union Parish, LA",0.2522
"cty13251","Screven County, GA",0.252
"cty29229","Wright County, MO",0.2519
"cty13167","Johnson County, GA",0.2517
"cty22021","Caldwell Parish, LA",0.2516
"cty21205","Rowan County, KY",0.2515
"cty13201","Miller County, GA",0.2514
"cty01053","Escambia County, AL",0.2512
"cty21175","Morgan County, KY",0.2509
"cty13185","Lowndes County, GA",0.2508
"cty21173","Montgomery County, KY",0.2508
"cty05027","Columbia County, AR",0.2507
"cty05035","Crittenden County, AR",0.2507
"cty05079","Lincoln County, AR",0.2507
"cty21199","Pulaski County, KY",0.2507
"cty22119","Webster Parish, LA",0.2505
"cty21137","Lincoln County, KY",0.2505
"cty48101","Cottle County, TX",0.2505
"cty51640","Galax city, VA",0.2503
"cty12001","Alachua County, FL",0.2501
"cty40135","Sequoyah County, OK",0.25
"cty47027","Clay County, TN",0.2498
"cty12093","Okeechobee County, FL",0.2497
"cty37091","Hertford County, NC",0.2495
"cty48443","Terrell County, TX",0.2494
"cty13155","Irwin County, GA",0.2493
"cty26163","Wayne County, MI",0.2484
"cty17029","Coles County, IL",0.2483
"cty51037","Charlotte County, VA",0.2483
"cty13245","Richmond County, GA",0.2481
"cty01081","Lee County, AL",0.2481
"cty47087","Jackson County, TN",0.248
"cty29085","Hickory County, MO",0.2479
"cty45039","Fairfield County, SC",0.2479
"cty39001","Adams County, OH",0.2473
"cty05113","Polk County, AR",0.2472
"cty21031","Butler County, KY",0.2471
"cty05103","Ouachita County, AR",0.2471
"cty28007","Attala County, MS",0.247
"cty37147","Pitt County, NC",0.247
"cty54061","Monongalia County, WV",0.247
"cty29143","New Madrid County, MO",0.2468
"cty13027","Brooks County, GA",0.2465
"cty13093","Dooly County, GA",0.2462
"cty06033","Lake County, CA",0.2461
"cty28019","Choctaw County, MS",0.246
"cty48377","Presidio County, TX",0.2455
"cty22073","Ouachita Parish, LA",0.2455
"cty47141","Putnam County, TN",0.2455
"cty37099","Jackson County, NC",0.2454
"cty04005","Coconino County, AZ",0.2453
"cty45025","Chesterfield County, SC",0.2449
"cty02188","Northwest Arctic Borough, AK",0.2448
"cty47097","Lauderdale County, TN",0.2447
"cty17019","Champaign County, IL",0.2445
"cty37041","Chowan County, NC",0.2444
"cty51690","Martinsville city, VA",0.2444
"cty13063","Clayton County, GA",0.2443
"cty48143","Erath County, TX",0.2442
"cty13235","Pulaski County, GA",0.2442
"cty06047","Merced County, CA",0.2441
"cty48273","Kleberg County, TX",0.2441
"cty05123","St. Francis County, AR",0.244
"cty21201","Robertson County, KY",0.244
"cty48323","Maverick County, TX",0.2439
"cty01025","Clarke County, AL",0.2438
"cty05019","Clark County, AR",0.2437
"cty13197","Marion County, GA",0.2434
"cty21099","Hart County, KY",0.2433
"cty37079","Greene County, NC",0.2433
"cty24039","Somerset County, MD",0.2431
"cty21011","Bath County, KY",0.243
"cty35053","Socorro County, NM",0.2427
"cty48145","Falls County, TX",0.2427
"cty37163","Sampson County, NC",0.2424
"cty13069","Coffee County, GA",0.2424
"cty26035","Clare County, MI",0.2423
"cty51121","Montgomery County, VA",0.2422
"cty29141","Morgan County, MO",0.2422
"cty41045","Malheur County, OR",0.2422
"cty39145","Scioto County, OH",0.2416
"cty21085","Grayson County, KY",0.2416
"cty47007","Bledsoe County, TN",0.2415
"cty48185","Grimes County, TX",0.2415
"cty22123","West Carroll Parish, LA",0.2414
"cty21165","Menifee County, KY",0.2412
"cty28067","Jones County, MS",0.2405
"cty45047","Greenwood County, SC",0.24
"cty35023","Hidalgo County, NM",0.2395
"cty01107","Pickens County, AL",0.2394
"cty47019","Carter County, TN",0.2393
"cty06025","Imperial County, CA",0.239
"cty21225","Union County, KY",0.2389
"cty05147","Woodruff County, AR",0.2387
"cty13199","Meriwether County, GA",0.2383
"cty28043","Grenada County, MS",0.2381
"cty51027","Buchanan County, VA",0.2381
"cty48109","Culberson County, TX",0.238
"cty18157","Tippecanoe County, IN",0.2378
"cty45023","Chester County, SC",0.2377
"cty01075","Lamar County, AL",0.2376
"cty26061","Houghton County, MI",0.2372
