"cty","Name","Population_Density_in_2010"
"cty36061","New York County, NY",69474
"cty36047","Kings County, NY",35372
"cty36005","Bronx County, NY",32904
"cty36081","Queens County, NY",20555
"cty06075","San Francisco County, CA",17178
"cty34017","Hudson County, NJ",13732
"cty25025","Suffolk County, MA",12416
"cty42101","Philadelphia County, PA",11379
"cty11001","District of Columbia, DC",9856
"cty51510","Alexandria city, VA",9314
"cty72127","San Juan Municipio, PR",8262
"cty36085","Richmond County, NY",8030
"cty51013","Arlington County, VA",7993
"cty24510","Baltimore city, MD",7672
"cty34013","Essex County, NJ",6211
"cty51610","Falls Church city, VA",6166
"cty72033","Catano Municipio, PR",5808
"cty51685","Manassas Park city, VA",5633
"cty17031","Cook County, IL",5495
"cty34039","Union County, NJ",5216
"cty29510","St. Louis city, MO",5158
"cty36059","Nassau County, NY",4705
"cty72021","Bayamon Municipio, PR",4695
"cty51710","Norfolk city, VA",4486
"cty51540","Charlottesville city, VA",4246
"cty55079","Milwaukee County, WI",3926
"cty08031","Denver County, CO",3923
"cty72031","Carolina Municipio, PR",3900
"cty34003","Bergen County, NJ",3884
"cty72137","Toa Baja Municipio, PR",3856
"cty51683","Manassas city, VA",3828
"cty06059","Orange County, CA",3808
"cty51600","Fairfax city, VA",3616
"cty72139","Trujillo Alto Municipio, PR",3604
"cty72061","Guaynabo Municipio, PR",3551
"cty51760","Richmond city, VA",3415
"cty12103","Pinellas County, FL",3348
"cty27123","Ramsey County, MN",3342
"cty42045","Delaware County, PA",3040
"cty26163","Wayne County, MI",2974
"cty51740","Portsmouth city, VA",2839
"cty51840","Winchester city, VA",2838
"cty51678","Lexington city, VA",2820
"cty51660","Harrisonburg city, VA",2808
"cty39035","Cuyahoga County, OH",2800
"cty17043","DuPage County, IL",2800
"cty51059","Fairfax County, VA",2767
"cty72135","Toa Alta Municipio, PR",2741
"cty48113","Dallas County, TX",2718
"cty34031","Passaic County, NJ",2715
"cty51650","Hampton city, VA",2673
"cty51700","Newport News city, VA",2630
"cty34023","Middlesex County, NJ",2622
"cty13089","DeKalb County, GA",2586
"cty72025","Caguas Municipio, PR",2439
"cty06037","Los Angeles County, CA",2420
"cty48201","Harris County, TX",2402
"cty51630","Fredericksburg city, VA",2326
"cty34007","Camden County, NJ",2321
"cty51570","Colonial Heights city, VA",2315
"cty18097","Marion County, IN",2280
"cty51770","Roanoke city, VA",2280
"cty36119","Westchester County, NY",2205
"cty51670","Hopewell city, VA",2198
"cty39049","Franklin County, OH",2186
"cty48439","Tarrant County, TX",2095
"cty27053","Hennepin County, MN",2082
"cty44001","Bristol County, RI",2064
"cty06001","Alameda County, CA",2044
