"cty","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
"cty48109","Culberson County, TX",0.5883
"cty13239","Quitman County, GA",0.5598
"cty72029","Canovanas Municipio, PR",0.5169
"cty28143","Tunica County, MS",0.5151
"cty28119","Quitman County, MS",0.5036
"cty72133","Santa Isabel Municipio, PR",0.4981
"cty05107","Phillips County, AR",0.4863
"cty13273","Terrell County, GA",0.4794
"cty28027","Coahoma County, MS",0.4788
"cty13243","Randolph County, GA",0.4786
"cty01063","Greene County, AL",0.4729
"cty72123","Salinas Municipio, PR",0.4725
"cty22035","East Carroll Parish, LA",0.4708
"cty01085","Lowndes County, AL",0.4699
"cty05077","Lee County, AR",0.4637
"cty28053","Humphreys County, MS",0.4614
"cty01105","Perry County, AL",0.4604
"cty13191","McIntosh County, GA",0.4596
"cty28055","Issaquena County, MS",0.4504
"cty28021","Claiborne County, MS",0.4468
"cty28135","Tallahatchie County, MS",0.4443
"cty01119","Sumter County, AL",0.4432
"cty46102","Oglala Lakota County, SD",0.4425
"cty28083","Leflore County, MS",0.4396
"cty28133","Sunflower County, MS",0.4385
"cty45005","Allendale County, SC",0.4381
"cty72131","San Sebastian Municipio, PR",0.4374
"cty28151","Washington County, MS",0.4371
"cty22065","Madison Parish, LA",0.437
"cty13141","Hancock County, GA",0.4364
"cty13167","Johnson County, GA",0.4332
"cty22081","Red River Parish, LA",0.4332
"cty48261","Kenedy County, TX",0.4312
"cty13093","Dooly County, GA",0.4294
"cty01011","Bullock County, AL",0.4279
"cty28163","Yazoo County, MS",0.4277
"cty05093","Mississippi County, AR",0.4245
"cty48507","Zavala County, TX",0.4217
"cty72149","Villalba Municipio, PR",0.4205
"cty48191","Hall County, TX",0.4196
"cty45069","Marlboro County, SC",0.4186
"cty05035","Crittenden County, AR",0.4186
"cty29155","Pemiscot County, MO",0.4177
"cty28051","Holmes County, MS",0.415
"cty28009","Benton County, MS",0.4145
"cty28103","Noxubee County, MS",0.4127
"cty28125","Sharkey County, MS",0.4119
"cty01087","Macon County, AL",0.4115
"cty72119","Rio Grande Municipio, PR",0.4108
"cty46121","Todd County, SD",0.4099
"cty48127","Dimmit County, TX",0.4098
"cty24510","Baltimore city, MD",0.4096
"cty72055","Guanica Municipio, PR",0.4082
"cty01037","Coosa County, AL",0.4063
"cty13205","Mitchell County, GA",0.4061
"cty51730","Petersburg city, VA",0.4061
"cty05147","Woodruff County, AR",0.405
"cty05123","St. Francis County, AR",0.4037
"cty47075","Haywood County, TN",0.4033
"cty48445","Terry County, TX",0.4033
"cty13183","Long County, GA",0.4028
"cty01065","Hale County, AL",0.4004
"cty48389","Reeves County, TX",0.4002
"cty47095","Lake County, TN",0.3994
"cty47097","Lauderdale County, TN",0.3972
"cty01017","Chambers County, AL",0.3965
"cty13165","Jenkins County, GA",0.395
"cty13027","Brooks County, GA",0.3947
"cty13301","Warren County, GA",0.3938
"cty48131","Duval County, TX",0.3907
"cty05041","Desha County, AR",0.3901
"cty22071","Orleans Parish, LA",0.3876
"cty13065","Clinch County, GA",0.3859
"cty13037","Calhoun County, GA",0.3858
"cty28107","Panola County, MS",0.3853
"cty13095","Dougherty County, GA",0.3852
"cty48495","Winkler County, TX",0.3852
"cty13269","Taylor County, GA",0.3849
"cty28093","Marshall County, MS",0.3846
"cty22067","Morehouse Parish, LA",0.3844
"cty48163","Frio County, TX",0.3841
"cty05017","Chicot County, AR",0.3836
"cty28063","Jefferson County, MS",0.3831
"cty48115","Dawson County, TX",0.3812
"cty13033","Burke County, GA",0.381
"cty01047","Dallas County, AL",0.3805
"cty37065","Edgecombe County, NC",0.3803
"cty22083","Richland Parish, LA",0.3786
"cty28017","Chickasaw County, MS",0.3784
"cty13263","Talbot County, GA",0.3778
"cty22031","De Soto Parish, LA",0.3771
"cty45061","Lee County, SC",0.3765
"cty45033","Dillon County, SC",0.3758
"cty13303","Washington County, GA",0.3752
"cty37181","Vance County, NC",0.3751
"cty28153","Wayne County, MS",0.3746
"cty48229","Hudspeth County, TX",0.3743
"cty28091","Marion County, MS",0.3742
"cty28025","Clay County, MS",0.3737
"cty48405","San Augustine County, TX",0.3736
"cty12039","Gadsden County, FL",0.3714
"cty28079","Leake County, MS",0.3713
"cty22091","St. Helena Parish, LA",0.3697
"cty08023","Costilla County, CO",0.3694
"cty48283","La Salle County, TX",0.3691
"cty28065","Jefferson Davis County, MS",0.3685
"cty01131","Wilcox County, AL",0.3683
"cty22039","Evangeline Parish, LA",0.3675
"cty28011","Bolivar County, MS",0.3675
"cty13265","Taliaferro County, GA",0.3673
"cty13287","Turner County, GA",0.3673
